id,fixture,identifier,points,value
1,2,minutes,0,0
2,2,minutes,0,0
3,2,minutes,0,0
4,2,minutes,0,0
5,2,minutes,1,4
6,2,minutes,2,90
7,2,minutes,0,0
8,2,minutes,0,0
9,2,minutes,0,0
10,2,minutes,0,0
11,2,minutes,0,0
12,2,minutes,2,85
12,2,assists,3,1
13,2,minutes,2,72
13,2,goals_scored,4,1
13,2,bonus,2,2
14,2,minutes,2,90
15,2,minutes,2,90
16,2,minutes,0,0
17,2,minutes,2,90
18,2,minutes,0,0
19,2,minutes,2,90
19,2,goals_scored,5,1
19,2,bonus,3,3
20,2,minutes,2,90
20,2,assists,3,1
21,2,minutes,0,0
22,2,minutes,0,0
23,2,minutes,0,0
24,2,minutes,0,0
25,2,minutes,1,40
26,2,minutes,1,17
27,7,minutes,0,0
28,2,minutes,2,90
28,2,goals_conceded,-1,2
28,2,saves,1,5
29,2,minutes,2,90
29,2,yellow_cards,-1,1
30,2,minutes,0,0
31,2,minutes,0,0
32,6,minutes,0,0
33,6,minutes,0,0
34,6,minutes,1,45
35,6,minutes,0,0
36,6,minutes,2,86
36,6,goals_conceded,-2,4
36,6,yellow_cards,-1,1
37,6,minutes,0,0
38,6,minutes,1,3
39,6,minutes,0,0
40,6,minutes,0,0
41,6,minutes,1,26
41,6,goals_conceded,-1,2
42,6,minutes,2,90
42,6,goals_conceded,-2,5
42,6,yellow_cards,-1,1
43,6,minutes,2,90
43,6,yellow_cards,-1,1
44,6,minutes,0,0
45,6,minutes,0,0
46,6,minutes,0,0
47,6,minutes,2,90
48,6,minutes,2,90
48,6,goals_conceded,-2,5
49,6,minutes,2,90
49,6,goals_conceded,-2,5
49,6,yellow_cards,-1,1
49,6,saves,2,7
50,6,minutes,2,63
51,6,minutes,1,30
51,6,goals_conceded,-1,2
52,4,minutes,2,90
53,6,minutes,0,0
54,6,minutes,1,3
55,6,minutes,0,0
56,6,minutes,0,0
57,6,minutes,0,0
58,6,minutes,1,45
59,6,minutes,0,0
60,6,minutes,2,90
60,6,assists,3,1
61,6,minutes,0,0
62,3,minutes,1,59
63,3,minutes,2,90
64,3,minutes,2,74
65,3,minutes,2,66
66,3,minutes,0,0
67,3,minutes,0,0
68,3,minutes,0,0
69,3,minutes,1,15
70,3,minutes,0,0
71,3,minutes,0,0
72,3,minutes,1,30
73,3,minutes,0,0
74,3,minutes,0,0
75,3,minutes,1,30
75,3,yellow_cards,-1,1
76,3,minutes,1,23
77,3,minutes,2,90
78,3,minutes,0,0
79,3,minutes,0,0
80,3,minutes,0,0
81,3,minutes,2,90
82,3,minutes,1,15
82,3,assists,3,1
83,3,minutes,1,59
84,3,minutes,0,0
85,3,minutes,2,90
85,3,goals_scored,4,1
85,3,bonus,1,1
86,3,minutes,0,0
87,3,minutes,0,0
88,3,minutes,0,0
89,3,minutes,2,90
90,8,minutes,2,83
90,8,goals_conceded,-1,2
91,8,minutes,0,0
92,8,minutes,1,18
93,8,minutes,0,0
94,8,minutes,0,0
95,8,minutes,0,0
96,8,minutes,2,90
96,8,goals_conceded,-1,2
97,8,minutes,0,0
98,8,minutes,1,41
99,8,minutes,0,0
100,8,minutes,0,0
101,8,minutes,2,90
101,8,goals_conceded,-1,2
101,8,saves,1,4
102,8,minutes,0,0
103,8,minutes,2,90
103,8,assists,3,1
103,8,goals_conceded,-1,2
104,8,minutes,2,71
104,8,goals_conceded,-1,2
104,8,yellow_cards,-1,1
105,8,minutes,2,90
106,8,minutes,1,48
106,8,assists,3,1
107,8,minutes,0,0
108,8,minutes,2,90
108,8,goals_scored,5,1
109,8,minutes,0,0
110,8,minutes,2,71
111,8,minutes,0,0
112,8,minutes,2,90
112,8,goals_conceded,-1,2
113,8,minutes,0,0
114,8,minutes,1,18
115,8,minutes,1,18
116,8,minutes,0,0
117,8,minutes,0,0
118,8,minutes,0,0
119,8,minutes,2,71
119,8,goals_scored,4,1
